Date,Close,Open,High,Low,Vol.
11-Dec-24,176,176,176,176,986.09K
10-Dec-24,176,170.1,176,175,24.68M
09-Dec-24,170.1,170.1,170.1,170.1,621.31K
06-Dec-24,170.1,170,170.1,170.1,16.88M
05-Dec-24,170,170,170,170,11.65M
04-Dec-24,170,170,170,170,1.53M
03-Dec-24,170,170,170,170,852.30K
02-Dec-24,170,170,170,170,1.05M
29-Nov-24,170,170,170,170,397.97K
28-Nov-24,170,170,170,170,444.50K
27-Nov-24,170,170,170,170,789.73K
26-Nov-24,170,172,170,170,4.60M
25-Nov-24,172,172,172,172,864.92K
22-Nov-24,172,172,172,172,1.34M
21-Nov-24,172,172,172,172,2.00M
20-Nov-24,172,172,172.3,172,904.11K
19-Nov-24,172,170,172,172,1.12M
18-Nov-24,170,170,170,170,552.39K
15-Nov-24,170,170,170,170,396.88K
14-Nov-24,170,170,170,170,261.55K
13-Nov-24,170,170,170,170,442.79K
12-Nov-24,170,169,170,170,3.51M
11-Nov-24,169,169,169,169,174.95K
08-Nov-24,169,169.7,169,169,1.03M
07-Nov-24,169.7,169.7,169.7,169.7,908.86K
06-Nov-24,169.7,169.7,169.7,169.7,409.16K
05-Nov-24,169.7,170.1,170.5,169.7,1.57M
04-Nov-24,170.1,175,170.1,170.1,965.01K
01-Nov-24,175,175.1,176,175,1.56M
31-Oct-24,175.1,175.1,175.1,175.1,214.22K
30-Oct-24,175.1,184,175.1,175.1,30.76M
29-Oct-24,184,184,184,184,227.65K
28-Oct-24,184,184,184,184,310.69K
25-Oct-24,184,188.5,184,184,526.68K
24-Oct-24,188.5,188.5,188.5,188.5,2.83M
23-Oct-24,188.5,188.5,188.5,188.5,1.41M
22-Oct-24,188.5,188.5,188.5,188.5,308.66K
21-Oct-24,188.5,191,188.5,188.5,903.11K
18-Oct-24,191,191,191,191,459.30K
17-Oct-24,191,191,191,191,1.36M
16-Oct-24,191,191,191,191,210.00K
15-Oct-24,191,191,191,191,303.54K
14-Oct-24,191,191,191,191,153.17K
11-Oct-24,191,190,191,191,1.01M
10-Oct-24,190,190,190,190,387.85K
09-Oct-24,190,190,190,190,344.46K
08-Oct-24,190,191.1,190,190,775.62K
07-Oct-24,191.1,190.3,191.1,191.1,415.19K
04-Oct-24,190.3,190.3,190.3,190.3,145.88K
03-Oct-24,190.3,190,190.3,190.3,617.88K
02-Oct-24,190,191,190,190,1.78M
30-Sep-24,191,191,191,191,346.30K
27-Sep-24,191,191,191,191,185.84K
26-Sep-24,191,199.8,191,191,404.98K
25-Sep-24,199.8,199.8,199.8,199.8,348.58K
24-Sep-24,199.8,199.8,199.8,199.8,540.56K
23-Sep-24,199.8,199.8,199.8,199.8,372.47K
20-Sep-24,199.8,192,199.8,197,2.25M
19-Sep-24,192,192,192,192,690.44K
18-Sep-24,192,192.2,192,192,1.81M
17-Sep-24,192.2,192.2,192.2,192.2,425.67K
13-Sep-24,192.2,192.5,192.2,192.2,1.88M
12-Sep-24,192.5,192.5,192.5,192.5,2.30M
11-Sep-24,192.5,192.5,192.5,192.5,1.33M
10-Sep-24,192.5,179,192.5,180,2.74M
09-Sep-24,179,179,179,179,4.19M
06-Sep-24,179,180,179,179,690.40K
05-Sep-24,180,180,180,180,715.02K
04-Sep-24,180,180,180,180,1.08M
03-Sep-24,180,180,180,180,997.62K
02-Sep-24,180,180,180,180,4.66M
30-Aug-24,180,184,180,180,1.22M
29-Aug-24,184,184,184,184,1.59M
28-Aug-24,184,199.8,187.8,184,1.48M
27-Aug-24,199.8,199.8,199.8,199.8,347.97K
26-Aug-24,199.8,199.8,199.8,199.8,483.50K
23-Aug-24,199.8,199.8,199.8,199.8,1.51M
22-Aug-24,199.8,199.8,199.8,199.8,763.03K
21-Aug-24,199.8,199.8,199.8,199.8,427.91K
20-Aug-24,199.8,199.8,199.8,199.8,552.69K
19-Aug-24,199.8,199.8,199.8,199.8,520.29K
16-Aug-24,199.8,199.8,199.8,199.8,396.12K
15-Aug-24,199.8,199.8,199.8,199.8,403.13K
14-Aug-24,199.8,199.8,199.8,199.8,879.40K
13-Aug-24,199.8,199.8,199.8,199.8,1.08M
12-Aug-24,199.8,199.8,199.8,199.8,566.94K
09-Aug-24,199.8,198,199.8,199.8,1.73M
08-Aug-24,198,180,198,185,1.89M
07-Aug-24,180,179.5,180,180,2.25M
06-Aug-24,179.5,178.7,179.5,179.5,1.73M
05-Aug-24,178.7,190,180,178.7,6.47M
02-Aug-24,190,190,190,171,2.48M
01-Aug-24,190,200,190,190,797.71K
31-Jul-24,200,200,200,180,1.03M
30-Jul-24,200,200,198.9,193,421.35K
29-Jul-24,200,200,200,193,306.67K
26-Jul-24,200,200,200,196,1.21M
25-Jul-24,200,200,200,196.2,263.00K
24-Jul-24,200,200,200,197,422.25K
23-Jul-24,200,200,202.2,197,598.59K
22-Jul-24,200,200,202.1,196.1,1.17M
19-Jul-24,200,196.1,200,199.9,1.48M
18-Jul-24,196.1,196.1,200,194,396.39K
17-Jul-24,196.1,203,196.1,195,2.35M
16-Jul-24,203,203,207,201,394.36K
15-Jul-24,203,200,203.5,203,1.16M
12-Jul-24,200,200,200,200,1.26M
11-Jul-24,200,200,206.5,201,130.66K
10-Jul-24,200,200,207,200.1,374.30K
09-Jul-24,200,200,207.4,200.6,301.07K
08-Jul-24,200,200,203,200,261.72K
05-Jul-24,200,200,208,200,431.12K
04-Jul-24,200,214,200,200,1.53M
03-Jul-24,214,214,209.3,202.1,2.46M
02-Jul-24,214,214,214,200.1,337.04K
01-Jul-24,214,214,214.8,201,418.56K
28-Jun-24,214,200,214,200,4.32M
27-Jun-24,200,214.8,200,200,4.53M
26-Jun-24,214.8,214.8,204.7,195.5,2.18M
25-Jun-24,214.8,214.8,206.9,199,2.99M
24-Jun-24,214.8,214.8,210,200.1,1.03M
21-Jun-24,214.8,214.8,215,202.3,1.86M
20-Jun-24,214.8,214.8,214.9,208.4,1.49M
19-Jun-24,214.8,220.7,214.8,214.8,2.82M
14-Jun-24,220.7,220.7,221.9,212.2,315.65K
13-Jun-24,220.7,220.7,222.9,211.6,274.29K
11-Jun-24,220.7,230,220.7,220.7,266.08K
10-Jun-24,230,230,225,217,140.06K
07-Jun-24,230,230,225,220.1,171.51K
06-Jun-24,230,230,223.9,211.5,574.37K
05-Jun-24,230,230,229,215,1.29M
04-Jun-24,230,230,230,216.4,608.03K
03-Jun-24,230,230,230,230,1.73M
31-May-24,230,230.5,230,230,2.92M
30-May-24,230.5,230.5,228,223.1,543.31K
29-May-24,230.5,230.5,227.6,221.8,161.78K
28-May-24,230.5,230.5,232.6,223,193.76K
27-May-24,230.5,230.5,232.4,223,437.74K
24-May-24,230.5,230.5,233.6,223,277.64K
23-May-24,230.5,230.5,230.5,230.5,1.86M
22-May-24,230.5,230.5,234.9,220.2,78.49K
21-May-24,230.5,230,230.5,230,2.20M
20-May-24,230,224,230,230,2.09M
17-May-24,224,224,229.2,220.2,3.14M
16-May-24,224,224,226,220.1,787.42K
15-May-24,224,220,224,224,3.74M
14-May-24,220,220,220,220,1.37M
13-May-24,220,220,225.3,201,873.07K
10-May-24,220,220,220,220,2.38M
09-May-24,220,220,220,220,3.43M
08-May-24,220,215,220,215,11.87M
07-May-24,215,215.5,215,214,1.53M
06-May-24,215.5,215,215.5,215,1.90M
03-May-24,215,210,215,215,933.85K
02-May-24,210,210,219.8,213.1,149.75K
30-Apr-24,210,202,210,208,1.31M
29-Apr-24,202,202,210,206.1,404.96K
26-Apr-24,202,202,219.9,204.4,615.11K
25-Apr-24,202,201.6,202,200,5.17M
24-Apr-24,201.6,224,201.6,201.6,2.78M
23-Apr-24,224,224,207.9,201.6,552.24K
22-Apr-24,224,224,214.9,203.2,227.61K
19-Apr-24,224,224,220.7,205.1,246.77K
18-Apr-24,224,224,223,215.1,206.60K
17-Apr-24,224,224,223,206,1.16M
16-Apr-24,224,227,225,224,3.98M
15-Apr-24,227,227,227,227,5.16M
12-Apr-24,227,227,227,227,9.35M
08-Apr-24,227,227,227,227,3.98M
05-Apr-24,227,229,230,227,5.74M
04-Apr-24,229,232,229,229,1.84M
03-Apr-24,232,232,232,225,1.31M
02-Apr-24,232,232,235,220,203.03K
28-Mar-24,232,229.9,232,229.9,3.21M
27-Mar-24,229.9,231,231,229.9,2.63M
26-Mar-24,231,235,231,230,5.25M
25-Mar-24,235,235,238,235,11.06M
22-Mar-24,235,235,235,235,1.49M
21-Mar-24,235,240,235,235,728.42K
20-Mar-24,240,240,240,230.1,381.59K
19-Mar-24,240,247.5,240,240,2.84M
18-Mar-24,247.5,267.8,248,247.5,1.61M
15-Mar-24,267.8,248,267.8,267.8,2.04M
14-Mar-24,248,249,249,248,3.21M
13-Mar-24,249,243.5,249,248.6,2.90M
12-Mar-24,243.5,221.4,243.5,230,1.72M
11-Mar-24,221.4,221.4,243.3,223,1.68M
08-Mar-24,221.4,201.3,221.4,201.3,5.87M
07-Mar-24,201.3,183,201.3,185,2.02M
06-Mar-24,183,183,196.9,184.1,1.01M
05-Mar-24,183,185,183,175,5.00M
04-Mar-24,185,200.7,185,185,4.60M
01-Mar-24,200.7,222.9,200.7,200.7,1.68M
29-Feb-24,222.9,222.9,220.9,200.7,1.04M
28-Feb-24,222.9,222.9,208.5,200.7,1.23M
27-Feb-24,222.9,247.5,222.9,222.9,1.42M
26-Feb-24,247.5,247.5,233,222.8,1.13M
23-Feb-24,247.5,247.5,234.9,222.8,1.12M
22-Feb-24,247.5,247.5,234.7,222.8,1.16M
21-Feb-24,247.5,247.5,228.9,222.8,1.31M
